Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body ,PD photo link,PD positive/adaptive THOUGHT,PD positive/adaptive THOUGHT,PD negative/maladaptive THOUGHT,PD tolerating negative or resilience THOUGHT,PD tolerating negative or resilience THOUGHT,PD positive/adaptive FEELING,PD positive/adaptive FEELING,PD negative/maladaptive FEELING,PD tolerating negative or resilience FEELING,PD tolerating negative or resilience FEELING,PD positive/adaptive BEHAVIOR,PD positive/adaptive BEHAVIOR,PD negative/maladaptive BEHAVIOR,PD tolerating negative or resilience BEHAVIOR,PD tolerating negative or resilience BEHAVIOR
Social Situations,,,Spilled slushie,"You and your friends are out getting dinner. Your food and drinks arrive, and you accidentally spill your drink down the front of your new white shirt.",https://drive.google.com/file/d/16jJWf3eLYQiWH3-6BkyLghQMMaNLxJay/view?usp=sharing,I think about how this is a common accident. ,I think about how it will be a funny story. ,I think I will look silly in front of everyone. ,"I feel like I'm annoying to my friends right now, but they will understand that accidents happen.","I feel like I'm causing a scene, but the other people here don't know me or care about this situation. ",I'm feeling silly and decide to chuckle about it. ,I'm glad that this is an old shirt. ,I feel embarrassed and it's making me want to leave the mall. ,"I'm so annoyed with myself, but am able to get past this feeling. ","I'm self-conscious with this stain, but no one else will care. ","I wipe up the drink, smile, and keep eating with my friends. ",I laugh and order another drink.,I feel like crying and leave the restaurant. ,"I want to leave immediately, but know that I'll forget about the stain soon. ","I want to throw away the food and leave, but I clean up and keep eating. "
Social Situations,,,Hanging out without you,"You are at work and hear some of your coworkers having a conversation behind you. As you listen, you realize that you were not invited to a small gathering, and a few of your coworkers and friends were all hanging out without you. ",https://drive.google.com/file/d/180Vk6BvitDkwytr0yGv0Wb3wtx8-2D8_/view?usp=sharing,It sounds like they had a fun time.,It's nice that my coworkers can spend time together outside of work. ,I wonder if I wasn't invited because they think I'm boring.,"I think they may have forgotten about me, but next time they'll remember. ","I wonder if my coworkers actually don't like me, but then challenge myself to think of times when we've all had a nice time together. ",I feel happy that my coworkers get along so well. ,I feel excited to hear about the fun that they had. ,I feel embarrassed that I wasn't invited. ,"I'm sad that they forgot about me, but then tell myself that they probably didn't intend to be mean.","I'm worried that I've lost all of my workplace friendships, but then remind myself that's not realistic. ",I say something nice to them. ,I reach out to one of my coworkers and let them know I would love to hang out with them next time.,I decide to avoid talking to my coworkers when possible.,"I really want to ask my coworkers why I wasn't invited, but decide that I don't need to ask. ","I want to cry, but remind myself that I've hung out with some of these friends and coworkers without everyone there. "
Social Situations,,,Hanging out without you,"You are at work and hear some of your coworkers having a conversation behind you. As you listen, you realize that you were not invited to a small gathering, and a few of your coworkers and friends were all hanging out without you. ",https://drive.google.com/file/d/180Vk6BvitDkwytr0yGv0Wb3wtx8-2D8_/view?usp=sharing,My coworkers look really happy. ,I think about all the good times I've had with my friends from work.,I think they meant to leave me out of the gathering. ,"I wonder if I was excluded intentionally, but I remember that I've spent time with coworkers without everyone there too.","My coworkers must not actually like me. But, I know that's not the case; we have a lot of fun together. ",I'm calm hearing about what they did. ,I'm glad to have these people as coworkers.,I'm sad that they forgot about me. ,"I worry that they left me out on purpose, but remember all of the times I have been included. ","I'm feeling sad, but decide to think of the good times I've had with my work friends.",I say hi to my coworkers when I see them around our office.,I'll ask some of my coworkers to hang out later this week. ,I cry and think about other times I've been excluded. ,"I want to ignore them for not inviting me, but remind myself that would be childish. ","I want to gossip about how awful it was that I wasn't invited, but decide that would not be helpful. "
Social Situations,Finances,,The Birthday gift,Your friend is having a huge birthday party and most of the people in your friend group will be there. Many of your friends are wealthier than you and can afford to give more expensive gifts. ,https://drive.google.com/file/d/1FK97F0rS8LTIXbo5OdxVuIloeA1-jeHr/view?usp=sharing,I think my friend will be happy to see me. ,I'm looking forward to celebrating with friends. ,My friend will be disappointed with the gift I can afford to bring. ,"I think I am a bad friend, but I know that the gift I'm bringing is thoughtful. ","I assume everyone brought an expensive gift, but I don't actually know if that's true.",I feel grateful to be invited. ,I feel excited to get the party started. ,I feel sad that I don't make as much money as my friends,"I feel ashamed, but decide that thoughtful gifts are more meaningful than expensive ones.","I feel guilty about bringing a cheaper gift, but remind myself that my friend will probably still appreciate it.",I stay at the party. ,I walk in and hug my friend. ,I decide to stay for an hour and leave. ,"I want to leave before the presents are opened, but decide to stay. ","I think about lying that I forgot the gift at home, but I give it to my friend."
Romantic Relationships,Social Situations,,No response,You've been texting with someone you really like and they're usually quick to respond. You notice that they saw your message a couple of hours ago and did not respond. ,https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,They're just busy. ,I am a nice person to talk to.  ,They must not like me.,"They may think I'm boring, but no one is interesting all the time. ","They may not be interested in me romantically, but I can move on to someone else.  ",I'm happy with who I am whether they respond or not. ,I feel okay that they haven't responded. ,I'm embarrassed that I put myself out there.,"I feel bad about not getting a quick reply, but remember I don't need to try and control the situation. ","I'm anxious that I haven't heard back, but realize that I don't need to hear back immediately about what I sent.",I keep going with my day.,I call a friend and ask them about their day. ,I send a bunch of messages back to back to see if they respond. ,"I want to ask what they think of me, but decide to give it more time. ","I want to spend my day focused on my phone, but instead do hobbies I enjoy. "
Romantic Relationships,Social Situations,,No response,You've been texting with someone you really like and they're usually quick to respond. You notice that they saw your message a couple of hours ago and did not respond. ,https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,They must have a lot to do today. ,They'll get back to me when they have time. ,They will never respond to me. ,"Maybe I'm annoying them, but they also might just be busy.","If they like someone else and not me, I won't like it, but I'll move on from it. ",The anticipation of waiting to hear back feels exciting. ,I feel happy with my ability to send fun messages. ,I'm upset that they didn't respond immediately. ,"I'm worried this has something to do with me, but realize this person has a lot of other things going on in their life. ","I'm sad that they didn't respond quickly, but know that I won't feel sad forever. ",I reach out to a friend. ,I start working on other important things I want to do today.,I cancel my plans for the day. ,"I want to remove them from my phone, but decide to give the situation some time and cool off. ","I want to send a bunch of messages to this person, but instead call a friend. "
Romantic Relationships,,,Attractive person on social media,"While scrolling through a dating app, you see an attractive person you met at the grocery store last week. You decide to like their profile. ",https://drive.google.com/file/d/1cZuUvxfxc9jrn57Y99LQosxbvUvv8V-R/view?usp=sharing,I hope we can continue the great conversation we started at the store. ,I think about how we could go on a date. ,This person will think I'm weird for liking their profile.,"I think about whether they'll think my photos are silly, but then remind myself that I'm proud of my profile. ","I wonder if they think I am attractive, but remind myself that looks aren't everything. ",I feel happy that I liked their profile. ,I feel excited I have a romantic prospect. ,I'm scared that I'll never find someone who's interested in me romantically.,"I feel embarrassed by some pictures I have up, but decide to feel confident about them. ","I feel shy about liking their profile, but decide to be excited about the opportunity.",I send them a message to start the conversation.,I tell my friend about how I liked their profile. ,I delete all of the pictures that might be embarrassing.,"I want to deactivate my account, but decide to keep it up. ","I want to change some of my pictures, but keep them the same. "
Romantic Relationships,Social Situations,,Spilled Coffee,"You’re on a date at a coffee shop with a person you really like. As you walk back to the table, you trip and fall and spill coffee everywhere.",https://drive.google.com/file/d/1ijt0ecisBDCbnP9iQ5cHp7WQlGPwmTpO/view?usp=sharing,This has probably happened to a lot of people. ,This will be a great icebreaker when I start talking to my date!,I look like a total klutz in front of my date. ,"My date might think I'm a bit clumsy, but they probably don't really care. ","I wish I'd been a bit more careful, but I'm human and it happens.",I feel lucky I didn't hurt myself.,I'm confident that we'll have a great conversation.,I feel like a fool. ,"I'm upset that the date started off this way, but it might help us feel more comfortable talking to each other.","I'm embarrassed that I tripped in front of my date, but this feeling will pass.",I laugh with my date about my spill. ,I clean up and buy another coffee.,I end the date early because I'm so embarrassed.,"I feel the urge to avoid talking to my date after this, but I decide to ask them if they want to hang out again.","I feel like crying, but take a deep breath. "
Romantic Relationships,Family & Home Life,,Clashing viewpoints ,"You and your partner both have strong opinions and you don’t always agree with each other. Over dinner one evening, you get into a heated argument about a topic that is a passion of yours.",https://drive.google.com/file/d/1CY5PLw_DW_F4ZZCed1eIaQEOb-3QH5ru/view?usp=sharing,This is such an important issue to be discussing. ,My partner is really smart and thoughtful.,Our relationship is going to end over this argument. ,"I believe that I'm right, but I choose to accept that we might just disagree on this point.","Even when my partner and I are mad at each other, I know we still care about each other deeply.",I'm grateful to have a partner who cares so much about important issues.,I feel respected as we discuss our differences in opinion.,I'm furious that we don't see eye to eye on this. ,"I'm upset that we got into a fight, but hopeful that we can move forward from this. ","I'm disappointed that we disagree on this point, but I know it's normal for couples to have disagreements. ",I try to see things from my partner's perspective to understand where they are coming from. ,I explain my views calmly and clearly.,I threaten to break up with my partner if they don't agree with me.,"I want to yell at my partner, but I take a few minutes to calm down before returning to the conversation.","I want to lock myself in my room, but decide that avoiding my partner won't be helpful in the long run."
Presymptomatic,,,Symptom Onset Fears,,,,,,,,,,,,,,,,,
Physical Health,Work/Career Development,,Walking up stairs,"You are meeting with your boss. To make it on-time, you just walked up two flights of stairs quickly, and feel your heart beating very rapidly.",https://drive.google.com/file/d/1l0VcV571sh8CPMn2No5S-IgUUDRsgLq_/view?usp=sharing,I am excited for the meeting. ,I made it up those stairs really quickly. ,Am I having a heart attack? ,"It's scary to feel my heart beating fast, but I know that it will be over soon. ","My boss might notice how out of breath I am, and it's okay if they do. ",I'm happy I made the meeting on time. ,I'm feeling excited now that my blood is pumping. ,I'm worried that there's something really wrong with me. ,"I feel embarrassed about being out of breath, but I'm able to focus on what my boss has to say. ","I'm worried that something's wrong with me, but I remind myself that it's normal to feel out of breath after walking up a bunch of stairs. ",I take a few deep breaths. ,I take a few sips from my water bottle. ,I start looking up symptoms of a heart attack online to see if I'm dying. ,"I feel the urge to tell my boss that something's really wrong with me, but remind myself that I'm actually OK. ",I want to panic but remind myself that it's actually just my body's reaction to coming up the stairs quickly. 
Physical Health,,,New grocery store,You're at a new grocery store and you're looking for bread. Suddenly you notice that your heart is beating quickly and pounding. ,https://drive.google.com/file/d/1ZAftU_pXDRMyfkE86fy5U3rPg0tTi1hz/view?usp=sharing,It's amazing how many different food options are at this grocery store. ,My heart must be beating faster because I'm walking so quickly up and down the aisles. ,I'm going to have a heart attack!,"Even if this feeling in my chest is really uncomfortable, I know it will go away soon. ","I wonder if there's something wrong with my heart, but I can get help and solve the problem if I need to. ",I'm excited to be in a new store. ,I'm happy looking for my favorite foods in a new place.,I'm scared that my heart racing means something is really wrong. ,"I'm worried about my heart, but then remind myself that it's going to be OK. ","I'm nervous about my health, but realize that my heart is probably beating because I'm excited to be somewhere new. ",I ask an employee where the bread is. ,I notice the feeling in my chest and keep looking for the bread. ,I freeze in place and start to panic. ,I start to leave but turn around and tell myself I can handle it.,I feel uncomfortable but take a few slow breaths and keep shopping.
Physical Health,,,New grocery store,You're at a new grocery store and you're looking for bread. Suddenly you notice that your heart is beating quickly and pounding. ,https://drive.google.com/file/d/1ZAftU_pXDRMyfkE86fy5U3rPg0tTi1hz/view?usp=sharing,I like the challenge of finding my favorite foods at this new store. ,I probably feel my heart beating because I'm excited to try this new store. ,I must be having a panic attack!,"My heartbeat is distracting me, but I will focus on my grocery list to stay grounded. ","I wonder if I'm really sick, but I know this feeling won't last forever. ",I'm happy that I finally decided to come here. ,I'm excited to see what this new grocery store has. ,I'm terrified my heart pounding means something bad is happening. ,"I'm scared about this feeling in my chest, but think about all the times my heart has pounded and I've wound up fine. ","I'm nervous about my heart, but remember that sometimes my heart beats quickly when I'm excited. ",I ask an employee to help me find the bread. ,I keep walking down the aisles. ,I take myself to the hospital immediately. ,I consider leaving the store but decide it may calm me down to finish this task. ,I don't like this feeling but I start looking for good sales.
Physical Health,,,Laughing at a joke,"A friend tells a funny joke and you start to laugh really hard. While you're laughing, you feel an uncomfortable tightness in your chest that you've never felt before.  ",https://drive.google.com/file/d/1K45MgxXqPYoGwF_Ck9c26oX8B4Q6Oafv/view?usp=sharing,That must have been a really funny joke. ,I have never laughed that hard at a joke my friend has told. ,Something is wrong with me.,"This tightness is kind of scary, but I can enjoy laughing now and see if it still bothers me later. ","I really don't like this feeling, but I can tolerate it. ",I'm happy that my friends are so funny. ,I'm so surprised by that joke!,I'm terrified by the tightness in my chest. ,"I'm worried about the tightness in my chest, but I think it will go away soon. ","I'm anxious about this feeling in my chest, but I know it's just from laughing really hard. ",I take a deep breath and tell my friend that was a good joke. ,I take a sip of water and continue the conversation. ,I leave the room so people won't see me. ,"Even though it's hard, I tell myself that this feeling will pass. ","I want to yell at my friend to be quiet, but I take a deep breath and decide not to. "
Physical Health,,,Laughing at a joke,"A friend tells a funny joke and you start to laugh really hard. While you're laughing, you feel an uncomfortable tightness in your chest that you've never felt before.  ",https://drive.google.com/file/d/1K45MgxXqPYoGwF_Ck9c26oX8B4Q6Oafv/view?usp=sharing,My friend is hilarious.,That's the funniest joke I've ever heard.,I can't catch my breath!,"This tightness is really uncomfortable, but I know it's from laughing really hard. ","I wish this feeling in my chest would go away, but I can stand it until it does. ",I love it when my friends make me laugh. ,I feel very connected to my friend.,I'm really scared about what this feeling means. ,"I'm nervous about why my chest is tight, but then remind myself that this is normal.","I'm anxious that this feeling means something's wrong with me, but I know it's probably from laughing really hard. ",I take a nice slow breath and keep enjoying my time with friends.,I tell my friend that's the best joke I've ever heard. ,I immediately start to look up online what this feeling means. ,I tell myself that this tight feeling isn't serious. ,"I want to leave, but remind myself that this tightness could be happening for many reasons, even just excitement about being with my friend. "
Physical Health,Mental Health,,Snakes in the park,Your friend convinces you to go on a walk through a local park. You have heard that there are poisonous snakes in that park.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,I'm looking forward to talking to my friend.,It'll be nice to walk in the park. ,I'm going to get bitten by a snake!,"Even though I've heard there might be snakes in the park, I think it's unlikely that I will see one. ","I'm really not looking forward to going into the park that might have snakes, but I know that I can tolerate my feelings of anxiety.",I'm happy my friend asked me to go on a walk. ,I'm calm thinking about going to the park.,I'm terrified that something bad is going to happen to me.,"I'm anxious about getting bitten, but remind myself that's the worst case scenario and it probably won't happen.","I'm worried about what we'll see in the park, but know that I can handle feeling a little worried.",I tell my friend I'm ready to go.,I put on a jacket and go outside. ,I call my friend and say that I'm busy all of a sudden.,"I want to tell my friend that I can't go, but push myself to go into the park anyway. ","I think about telling my friend that we should go on a walk somewhere else, but decide that it'll be OK if we walk in the park."
Physical Health,Mental Health,,Snakes in the park,Your friend convinces you to go on a walk through a local park. You have heard that there are poisonous snakes in that park.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,The weather is really nice. ,I like talking to this friend. ,I'm going to die if a snake bites me.,"Even though it makes me uncomfortable thinking about snakes in the park, I know that I can go into the park anyway. ","I think about telling my friend that I've changed my mind, but go with them anyway. ",I'm excited to catch up with my friend. ,I'm eager to tell my friend about what happened at work today. ,I'm so worried about whether I will see a snake.,"I'm scared to go into the park, but then realize I've never heard of someone getting bitten in that park. ","I'm anxious thinking about a snake biting me, but know that I'll be OK on this walk.",I put on my shoes and head out the door. ,I meet my friend at the park entrance. ,I tell my friend that I'm not feeling well and that I can't go.,"I want to avoid going to the park, but challenge myself to go. ","I consider bailing on my friend, but push myself to go on the walk anyway. "
Physical Health,Social Situations,,Saying hi to friends,"You are outside on a cool day and see your friends down the street. You decide to jog over to say hi. When you get to your friends, you feel out of breath.",https://drive.google.com/file/d/1Ov4_xFiqnjvKNN5Un7xhg3L3BWieCiaz/view?usp=sharing,It is a nice day for a jog. ,It's great to see my friends. ,I feel like I'm going to die. ,"I think I'm being judged by my friends for being out of breath, but they probably don't even notice. ","The tightness in my chest is really uncomfortable, but I know it'll go away soon. ",I feel happy to see my friends. ,I feel invigorated. ,I'm worried I'm really sick because of the tightness in my chest. ,"Even though it's uncomfortable to feel out of breath, I know it's normal to feel this way after running. ","Feeling out of breath reminds me of how I feel when I'm a little anxious, which is interesting to notice. ",I smile when I see my friends. ,I ask how my friends are doing after I catch my breath. ,I tell my friends that I can't breathe and I need help.,"I want to sit on the ground and avoid talking until I recover, but I acknowledge my feelings and catch my breath. ","I think about calling my partner to make sure I'm not dying, but I know that I'm actually ok. "
Physical Health,Social Situations,,Saying hi to friends,"You are outside on a cool day and see your friends down the street. You decide to jog over to say hi. When you get to your friends, you feel out of breath.",https://drive.google.com/file/d/1Ov4_xFiqnjvKNN5Un7xhg3L3BWieCiaz/view?usp=sharing,I am able to keep a good pace on this jog. ,It is so beautiful out today. ,My friends will think I'm out of shape because I need to catch my breath.,"I feel like I'm going to die from being out of breath, but I know I won't. ","My friends might judge me for gasping a little when I get to them, but they probably won't. ",I'm really excited to see these friends who I haven't seen in a while. ,I'm happy to be able to stretch out my legs. ,I'm embarrassed that I have to catch my breath when I see my friends. ,"I'm worried that I'm sick because of this feeling in my chest, but realistically I know I'm fine and it was just the jog. ","Even though I'm feeling miserable, I know this feeling will pass. ",I take a second to catch my breath when I get to my friends. ,I crack a joke when I see my friends. ,I try to cover up that my breathing is heavy. ,"I want to go see a doctor because I'm worried about how tight my chest is, but know that this feeling is normal after a quick jog. ","I want to walk away quickly from my friends so they don't see how out of breath I am, but I know that this is normal and they won't judge me. "
Physical Health,,,Walking up stairs,"You are meeting with your boss. To make it on-time, you just walked up two flights of stairs quickly, and feel your heart beating very rapidly.",https://drive.google.com/file/d/1l0VcV571sh8CPMn2No5S-IgUUDRsgLq_/view?usp=sharing,I am happy to be on time. ,That was an impressive mini workout!,I'm so out of shape. ,"I want to think about how this could be the sign of an underlying condition, but it's probably just from the stairs. ","I think about my heartbeat, and decide that is normal for how fast I was just going. ",I'm proud of myself for making myself a little uncomfortable. ,I'm glad that I was able to make it up the stairs so quickly.,I'm panicking that I'm going to die. ,"Although I am worried about my health, I decide to focus on the moment with my boss. ","I want to feel concerned about this situation, but shift my attention to the meeting. ",I smile at my boss once I make it to the meeting. ,I breathe deeply and focus on calming myself. ,I ask my boss if I could be having a heart attack. ,"I feel the urge to look up my symptoms online, but remind myself that feeling this way is normal after going up a lot of stairs. ",I remind myself to take a few slow breaths to recenter my thoughts after I feel the urge to cry. 
Mental Health,Social Situations,,Tagged in a photo,"You and your friends took some pictures together. The next day, you get a notification that they tagged you in a post on social media. You don't like how you look in the picture.",https://drive.google.com/file/d/1KskrjJ1I6dTgmaaRpMZPdIRFbz5zu4od/view?usp=sharing,My friends enjoy hanging out with me. ,My friends have beautiful profiles.,People are going to judge how I look. ,"I don't think I look good in the photo, but I probably look better to other people. ","People may not like the picture, but I feel good being appreciated by my friends. ",I'm happy thinking about that memory.,I'm confident in my friendships. ,I'm annoyed that this isn't a flattering picture of me.,"I feel angry at my friend, but know that they didn't know how I feel about the picture. ","I'm insecure about how I look in the picture, but that was only one moment in time. ",I like the post. ,I comment on the picture about how much fun we had. ,I call my friend and yell at them. ,"I want to have the picture removed, but decide to let my friend keep it up. ","I start to delete all pictures where I don't look great, but stop because keeping the memories is more important. "
Mental Health,Social Situations,,Tagged in a photo,"You and your friends took some pictures together. The next day, you get a notification that they tagged you in a post on social media. You don't like how you look in the picture.",https://drive.google.com/file/d/1KskrjJ1I6dTgmaaRpMZPdIRFbz5zu4od/view?usp=sharing,It's nice they posted a picture of all of us. ,I don't think anyone will care how I look.,Other people will judge how I look in the picture. ,"I don't think this is the best post, but it's just one picture and it's not a reflection of who I am. ","I think that my friend could've posted a better picture, but I know they didn't really mean to put up a bad one of me. ",I feel happy it is a group photo. ,I'm proud of the outfit in the picture. ,I'm embarrassed by the face I'm making in the photo. ,"I'm annoyed that such a bad photo of me was posted, but remind myself that this isn't the end of the world. ","I feel embarrassed everyone else looks better than me, but I try to feel glad about everyone looking happy in the picture.",I post a photo from a few weeks ago where I really like how I look. ,I tell my friend it was a good idea to post a picture of everyone.,I leave a comment about how embarrassed I am. ,"I want to pretend the picture doesn't exist, but decide to put a nice comment instead. ","I want to ask my friends if they think I look okay, but decide I look fine on my own."
Mental Health,Family & Home Life,,Turned off appliances,You and your family are heading out of town for a few days and your partner asks you to double-check that all the appliances in your house are turned off before you leave. You had to rush to pack so didn't get to check everything. ,https://drive.google.com/file/d/1AaGI8KuAaJfPPgwkXSBsNDbxRKhSAluM/view?usp=sharing,I think about all the fun things my family and I will do on our trip.,I think about how I noticed everything was turned off during the first check. ,I think about all of the horrible things that could happen in the house.,"Even if I'm not 100% certain that the appliances are off, I can live with that. ","Even though I didn't get to fully check a second time before we all left, I remember that I have never left the appliances on when leaving the house before. ",I feel confident everything was shut off. ,I feel excited about the trip. ,I'm worried that an appliance was left on. ,"I feel scared that I missed something, and then gently focus on what's going on in the car. ","I feel guilty about not checking everything again, but I remind myself that checking once was enough.",I start planning some activities we can do on our trip. ,I focus on my conversation with my family.,I go back to the house to make sure I turned everything off.,"I want to go back and check, but know that will make my anxiety worse in the future.","I want to cry thinking about how anxious I feel, but I know that this feeling won't last forever. "
Mental Health,Family & Home Life,,Turned off appliances,You and your family are heading out of town for a few days and your partner asks you to double-check that all the appliances in your house are turned off before you leave. You had to rush to pack so didn't get to check everything. ,https://drive.google.com/file/d/1AaGI8KuAaJfPPgwkXSBsNDbxRKhSAluM/view?usp=sharing,I think about how everything is fine.,I think about how excited I am for our trip.,I think about how something bad may happen because I didn't get to check the appliances properly. ,"I worry that having thoughts about terrible things happening will make them more likely to occur, but I remind myself that isn't true.","It's possible that an appliance could start a fire, but pretty unlikely. Even if it did happen, our fire alarm would alert the neighbors. ",I am satisfied that I checked the appliances that I could on my way out. ,I feel calm now that I'm in the car and on my way out of town with my family. ,I'm scared that our house is going to burn down. ,"I'm miserable worrying about whether everything is off, but remind myself to focus on the present and take a deep breath.","I feel worried about the house burning down, but know that I can tolerate this feeling and it will pass. ",I talk to my family about what we're going to do on our trip.,I'll remember that I don't have to check all of the appliances multiple times before we leave. ,I focus on everything that could go wrong because I didn't have time to check.,"I want to ask my partner whether they think all of the appliances are off, but I decide to talk about the parts of the trip I'm looking forward to instead.       ","I want to be upset about the situation, but decide to chat with my family. "
Finances,Social Situations,,The Birthday gift,Your friend is having a huge birthday party and most of the people in your friend group will be there. Many of your friends are wealthier than you and can afford to give more expensive gifts. ,https://drive.google.com/file/d/1FK97F0rS8LTIXbo5OdxVuIloeA1-jeHr/view?usp=sharing,It'll be good to see lots of my friends.,My friend will be happy that I'm able to go. ,My friend will be embarrassed to have me as a friend because my gift isn't as nice as everyone else's. ,"My friend may be disappointed with my gift, but I'm still glad I came and showed I cared.","People might judge me for my gift, but I know that I put a lot of thought and effort into finding something special. ",I feel happy to be around all of my friends. ,I feel enthusiastic about sharing my good energy. ,I feel guilty for bringing a less expensive present.,"I feel terrible, but decide the party will go on.","I'm sick to my stomach thinking about whether my friend will like their gift, but remind myself that they will appreciate my thoughtfulness.",I have fun dancing at the party. ,I smile at all of my friends. ,I try to sneak by my friend so they don't notice me when I walk in. ,"I'm tempted to leave before the presents are opened, but remind myself that I'm actually having fun.","I want to skip the party to deal with my anxiety about the gift, but decide to push myself to go anyway."
Finances,Family & Home Life,,Managing bills ,"Your mortgage payment is due soon, and you also have to pay some unexpected medical bills. Your budget is tight this month, and you think about how you’ll afford all of this.",https://drive.google.com/file/d/1uK9xKfyrNjXoEwvNPCJiCLHI5qN7JAcc/view?usp=sharing,I can figure out a way to handle this. ,I have successfully dealt with financial challenges in the past and I can do it again now.,I'll never be able to afford all of this. ,"This is a tough situation, but I won't have all of these expenses every month.","I think that there is no solution to this problem, but I take a step back and think through my options.",I am confident in my ability to come up with a solution.,I'm proud of myself for handling a tough financial situation.,I feel completely underwater.,"I'm anxious that I won't save money this month, but I am hopeful that I will be able to save in the future.","I'm really frustrated that this is all happening at once, and I recognize that it's okay to feel that way. ",I ask a friend for help with coming up with a plan. ,I talk to my insurance company about payment options. ,I sit and do nothing. ,"I just want to be lazy and take a nap, but decide to start making a plan.","I want to avoid dealing with this situation, but decide to make a budget to help organize my finances. "
Finances,Family & Home Life,,Financial responsibilities,Your partner was in the hospital recently and you have been helping to pay their medical bills. You wonder what this will mean for your finances moving forward.,https://drive.google.com/file/d/17vlVtB08gJECMAm112EAZx3aEOV-ajTK/view?usp=sharing,My partner is so strong.,We will get through this. ,We are going to run out of money paying these bills.,"I think about how challenging this situation is, but remind myself that it will not last forever. ","I try to imagine how this could have been avoided, but accept that my partner needed to be in the hospital. ",I am thrilled that my partner is out of the hospital.,I am confident in our plan for handling this situation.,I am terrified that we will never recover from this financially. ,"I'm scared about what this means for my finances, but I trust that we will figure it out. ","The uncertainty of this situation is uncomfortable, but I can tolerate it.",I talk to my partner about our finances and make a plan.,I adjust my budget so I can be prepared for situations like this in the future.,I avoid dealing with the medical bills.,"I want to avoid the situation, but I choose to tackle it head-on.","I want to bury my emotions, but I decide to share how I'm feeling with my partner. "
Family & Home Life,,,Upset family ,You are home for a holiday and you notice your siblings are upset with each other. They give you a short answer when you try to talk with them. ,https://drive.google.com/file/d/1SBNnoHm2DQ-ao5gfMeK2UcbNpRXoO47f/view?usp=sharing,I think about how it has nothing to do with me. ,I think about doing something nice for them. ,I ask myself if I did something wrong.,"I think I am the reason that they are fighting, but remind myself that they have a lot going on that doesn't have to do with me. ","I wonder if they're arguing about something I did, but then remember that it isn't my fault if they're not getting along.",I'm glad I am able to remove myself from the situation. ,I feel confident that this will blow over fairly quickly. ,I'm angry that they're always arguing.,"I'm sad that they're arguing a lot, but know that they are adults and they have to settle it themselves.","I feel anxious thinking about my siblings not getting along, but I remember that their relationship is not my responsibility.",I walk away. ,I go do my work. ,I yell at them to answer my question.,"I want to get in the middle of it and fix it for them, but decide to give them some space and let my feelings pass. ","I want to storm off, but walk away calmly. "
Family & Home Life,,,Upset family ,You are home for a holiday and you notice your siblings are upset with each other. They give you a short answer when you try to talk with them. ,https://drive.google.com/file/d/1SBNnoHm2DQ-ao5gfMeK2UcbNpRXoO47f/view?usp=sharing,They'll be over this in a few days.,I think about how they will be in a better mood later. ,I immediately blame myself for their fight.,"I think about what I could have done to prevent this, then remind myself that I can't control everything.","I think about how they might continue to get more upset, then I think about how they will calm down with time.",I feel calm even though they're a little upset. ,I feel confident that they will work out their differences.,I'm anxious about the tension between them. ,"I feel guilty, but realize that I did nothing wrong.","I feel sad knowing my siblings had an argument, but I know that conflict is a part of healthy relationships.",I go for a walk to get some space from the situation.,I call my friends to catch up.,I tell them that they're being selfish. ,"I want to force them to work it out right now, but go for a walk outside and remind myself that they'll be OK soon. ","I want to ask them if they're arguing because of me, but I decide I'm okay with not knowing the specifics. "
Family & Home Life,Social Situations,,Strong opinions,"Your family members have some strong opinions and you don't always agree with them. One evening, you invite a friend over for dinner. ",https://drive.google.com/file/d/1KeHog1u5MnwSfzyD9yBj4oIlp2YAyHwf/view?usp=sharing,I appreciate having different views than my family. ,My friend will be interested in hearing what my family has to say.,My family is to say something that makes me upset.,"If my family say something that I don't agree with, my friend and I can always talk about it later. ","If my friend doesn't agree with my family members' perspectives, they'll still want to be friends with me.",I'm calm sitting at dinner with my family and my friend.,I'm excited to watch a movie with my friend after we eat.,I'm anxious about what my family members might say.,"I'm worried that my family will say something that will make my friend dislike me, but I am more confident in the strength of our friendship. ","I'm embarrassed that my family has such a different point of view than me, but remind myself that everyone has different beliefs.",I remind myself that everyone has different opinions.,I listen to my friend while they talk to my family members.,I zone out and stop paying attention to what people are saying.,"I want to think of something else as everyone talks, but remind myself that I can handle my feelings and tune back into the conversation.","I want to change the topic so we can talk about something less serious, but I let go of trying to control the conversation."
