Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing,Occurrence
Finances,,,Savings Scandal,"You've recently been putting money in savings, to have in case of emergencies. Your credit card bill was more expensive than you had expected this month, and you had to take a large bit of money from your savings to pay for it. You decide this is okay, and there is plenty of time to bulk up your savings. ",N/A,Are you worried about losing savings?,No,Yes ,https://drive.google.com/file/d/18xsXSeYRnFaB0NuRynhv79IBJK_x7sHn/view?usp=sharing,1,1
Finances,,,Buying Supplies,"You are trying to buy supplies needed to do your job, which your employer usually reimburses. However, you’ve noticed that the price of an item you routinely buy has gone way up, and you worry that you will be partially responsible for paying for it. You reach out to your supervisor to discuss the change, and they confirm you will still be fully reimbursed.",N/A,Can you reach out to your supervisor for help with work-related finances? ,Yes,No,https://drive.google.com/file/d/1DD2p9qy0BJjE5dYmszJgnBZVNzNdAbsq/view?usp=sharing,1,1
Finances,,,Paying Bills,"Rent for the next month is due soon. You’ve been under financial stress lately, and you’re unsure if you have enough money to make your rent payment. You think that making a plan to pay your rent on time will be feasible. ",N/A,Will you pay your rent on time? ,Yes,No,https://drive.google.com/file/d/1eHgxKy6cff6gyUbk0CIfq-hy922J4OOW/view?usp=drive_link,1,1
Finances,Social Situations,,Weekend Plans,"Your friends ask you to go out to dinner at a fancy restaurant with them this weekend. It is really expensive and you know you won't be able to afford it. When you picture yourself telling your friends that you can't go, you feel nervous.",N/A,Will your friends be upset that you can't go out to dinner?,No,Yes,https://drive.google.com/file/d/18cLoBxquxdCG-Bu2BOxDQ5YPcrZOF1cn/view?usp=sharing,1,1
Finances,Family & Home Life,,Feeling Worried by the News,This morning your spouse is watching the news and you overhear that a lot of businesses are currently downsizing. You think about what will happen if your spouse loses their job. You feel scared.,You notice that your spouse does not look upset while listening to the news. You think that things will be alright.,Should you start to worry about your spouse's job?,No,Yes,https://drive.google.com/file/d/16KZJVDZijOiPKkJwZWdRQfE4gNhwBtU-/view?usp=sharing,1,1
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. As you think about cutting back on your expenses, you think that saving enough for your trip is hopeless.",,"When it is time to book the upcoming trip, you will probably",Have to cancel because of money issues.,Be able to choose a pretty nice hotel.,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,,,Bill for a fix,"Your roof has a leak, and water comes into the house every time it rains. You think it is going to be expensive to hire someone to fix it. As you think about paying the bill to have the roof fixed, you feel that you will be fine.",N/A,Will you be broke after paying the bill for fixing the roof?,No,Yes,https://drive.google.com/file/d/1tCizqz0P97OBuOF2WPjjlFPS5gMg05EH/view?usp=sharing,1,1
Finances,,,Deciding on one thing,"You are at the local car dealer looking to buy a new car. After considering all the options, you are still torn between two cars. When you tell the dealer which car you decided to buy, you feel content.",N/A,Are you anxious about your decision?,No,Yes,https://drive.google.com/file/d/1jrWuu3Yp7xogKvb7WPrQOL_uOCiGBcQt/view?usp=sharing,1,1
Finances,,,Paying for Repairs,"Your car needs expensive repairs. You have savings but are reluctant to use them. When you pay for the car repairs, you will be fine.",N/A,Will you go bankrupt after paying for the car repairs? ,No,Yes,https://drive.google.com/file/d/1iwnSvOtF3QT1_rhG81NkX6UqlQeVh0f4/view?usp=sharing,1,1
Finances,Family & Home Life,Social Situations,Home Introductions ,"You notice your home is not like your peers' homes. Your best friend has never been to your place, but wants to come over for dinner one night. You think about their reaction to your home and they will be respectful.",N/A,Will your friends judge your home?,No,Yes,https://drive.google.com/file/d/1VCybtiOeMs0Sxk93nEyA51k4mVoIITAu/view?usp=sharing,1,1
Finances,,,Financial Limitations,"Last month, you were able to go out to dinner more often than you usually do, and you enjoyed it. However, looking at your bank account now, you're unsure if you can keep up with that lifestyle as well as pay for groceries, bills, etc. You decide to limit yourself to one meal out per week, and you're feeling confident in this budget. ",N/A,Will you still be able to enjoy a night out?,Yes,No,https://drive.google.com/file/d/1zr-ojLmvOUbAd2xJRvcq3QG2d7z_oRgu/view?usp=sharing,1,1
Finances,Work/Career Development,,Extra Income,"You've recently been feeling overwhelmed with work, but you know that you need to get a second job to be in a more stable financial situation. While searching online for jobs, you saw an application for a job that sounds really fun for you. You think that working this second job will be manageable. ",N/A,Do you think you'll thrive with a second job?,Yes,No,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,1,1
Finances,,,Managing bills,"Your credit card bill for the month will arrive soon. You spent a bit more this month than you normally do. When you think about your future finances, you feel that you will be okay.",N/A,You think that your finances will be ...,Manageable.,Out of control.,https://drive.google.com/file/d/1ntIIxm81GLLVv4ADzPrrHkj2df_z9XrL/view?usp=sharing,1,1
Finances,,,Worrying About Savings,"You hung out with some friends you haven't seen in a while, and you ended up on the topic of finances. While you thought your financial situation was stable, your friends start talking about the money they're putting away in savings for retirement. You've been using your money to pay for necessities, and haven't thought about starting to save.","When you think about it, you know that you have lots of time to save still, and finances don't look the same for everyone. ",Are you concerned about not saving right now?,No,Yes,https://drive.google.com/file/d/1kYP_IMC9Y00yWCg_vj3iT3BuTssF0wig/view?usp=drive_link,1,1
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. ","As you think about cutting back on your expenses you do not see yourself overspending again, and you think that saving enough for your trip is manageable.",Do you think it will be too hard to save up enough for your ski trip?,No,Yes,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work.  Thinking about your ability to make the payment, your funds will be insufficient.",,"In the coming month, you see yourself",Falling behind on your rent.,Paying your rent bill fully.,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,Social Situations,,Worrying About Spending,"A group of your friends are going out to dinner and they invited you. You know that you guys have been going out to dinner a lot recently, and you don't know if you can keep up with this lifestyle. You tell your friends that you'll catch up with them next time, and you're happy staying at home for the night.",N/A,Are you comfortable passing up on this dinner?,Yes,No,https://drive.google.com/file/d/1eLJnrJZBFA0pUisiuLxNVgNJfC_xJB7I/view?usp=sharing,1,1
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. As you think about cutting back on your expenses,  you think that saving enough for your trip is doable.",,The chances you will go on your ski trip are,"Good, because you will be able to save more money in the coming months.","Slim, because saving up enough money is unlikely.",https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. Thinking about your ability to make the payment, your funds will be enough.",,Taking on the extra shifts will,Mean you'll save enough to make your rent.,"Still you leave you short, and you'll be late paying your rent.",https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. You think that the plan you choose will leave you in a financial position that is solid.",,"When it comes to choosing a retirement plan, you think",That you will make a good decision because you have done your research.,"There's a good chance you will make a mistake, given how little you know about how they work.",https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,1,2
Finances,,,Managing Credit Cards,"Your bank has contacted you about signing up for a credit card with a very low interest rate. You are a responsible spender, but you worry about accruing debt if you sign up for a new credit card. As you think about what you would do with the credit card, you think that you would probably spend money wisely.",,Getting a new credit card would probably,Not change much about the careful way you spend.,Hurt you financially by leading to debt.,https://drive.google.com/file/d/1VkvXAEOBH6tuc4To3Q7QApJ-DzkT-ezH/view?usp=sharing,1,1
Finances,Family & Home Life,,Unexpected Costs,"You are currently renting your home, but you have a stable job now. You feel that it is about time to buy a house. Considering the possibility of buying, fully supporting your decision will be feasible.",,Buying a house will,Be affordable and turn out okay.,"Be beyond your means, even with your job.",https://drive.google.com/file/d/1lpvvvV6h9M0GBc8a-at-2ovha4XXdfLE/view?usp=sharing,1,1
Finances,Family & Home Life,,Providing for Family,"You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges, but understand that this comes with a high price tag. When you think about your grandchildren, you think supporting their college education will be affordable.",,You think that sending your grandkids to a good college,Will be attainable.,Will be beyond your means.,https://drive.google.com/open?id=1wEkSy9NvhCjr6WqsDBNjlLMJV9j0q5ou&usp=drive_copy,1,1
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1,3
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,1,2
Finances,,,Write Your Own,,,,,,,1,8
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Mental Health,,,Haircut Headache ,"Today you're taking staff pictures and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the pictures, you feel embarrassed",,Are others going to judge you when they see your haircut in the picture?,Yes,No,https://drive.google.com/file/d/1hJ5jSFgD9p0YWah_M35D5-XX1eWGMlRm/view?usp=sharing,1,1
Mental Health,,,Vacation Plans,"You are backpacking abroad with your best friend. You have a general idea of what you will do each day, but you didn't plan out every detail ahead of time. This uncertainty causes some anxiety that is tolerable.",N/A,Is the spontaneity of your trip going to be tolerable?,Yes,No,https://drive.google.com/file/d/1dc90w81b-5l6lJiogXhCAoRIezU3dhLq/view?usp=drive_link,1,1
Mental Health,Family & Home Life,,Leaving the House,"One morning you leave your house and begin to make your way to work. About 10 minutes into the commute, you wonder whether you remembered to lock the door to your home. As you continue your commute, you trust yourself and you feel relaxed.",N/A,"For the rest of your morning commute, you feel ...",At ease as you get to work.,Worried that you left the door to your home unlocked.,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,1,1
Mental Health,,,Faster thoughts,"You are planning an event you are extremely excited about. As you think about what you need to do for the event to be a success, your thoughts seem to speed up. This is helpful.",N/A,Do you find it useful when your thoughts seem to speed up?,Yes,No,https://drive.google.com/file/d/1SaSOZb7CwqBWSZLgiDR8Hhold_NOYHAx/view?usp=sharing,1,1
Mental Health,Social Situations,,Office Talk,"You are having a discussion with your boss in their office, which is a little anxiety-provoking for you. You think about ending the discussion early. After a brief pause, you decide to stay.",N/A,Are you able to continue the discussion with your boss?,Yes,No,https://drive.google.com/file/d/1EVK1YWntA3eHXiFL5ok7Rw3ZBpkKE_D7/view?usp=sharing,1,1
Mental Health,Work/Career Development,,Locked door,"You get home from work on a Friday evening and wonder whether you locked the office door. You usually lock the door, but you still feel anxious not knowing for sure. Your weekend away from the office will be enjoyable.",N/A,"Over the weekend, you will ...",Rest and spend time with friends.,Worry about whether you locked the door. ,https://drive.google.com/file/d/1qii6Tw7lK46f_BUds8kymQOtUEDhZqjV/view?usp=sharing,1,1
Mental Health,,,Favorite watch,"You are out to dinner and realize that you are not wearing your favorite watch. You don't remember taking it off earlier but think it is probably where you always keep it. You become a little anxious thinking about where the watch is, and your dinner ends up being enjoyable.",N/A,Is the dinner miserable while you worry about the watch? ,No,Yes,https://drive.google.com/file/d/1rZmwzVLqwav8NQcIfkgyiLKeBOdqSS-y/view?usp=sharing,1,1
Mental Health,,,Thinking About Flying,You're watching a TV show about people travelling to other countries. The idea of taking an airplane makes you feel anxious. You think you will deal with your anxiety successfully.,N/A,Are you able to tolerate your feelings of anxiety about airplanes? ,Yes,No,https://drive.google.com/file/d/1wnxiRUTD_wAP7gp1JGI-BwXD0_dNvvjq/view?usp=sharing,1,1
Mental Health,Physical Health,,Monday Morning,"It's Monday morning and you are running late for a meeting. You feel your heart racing as you open the car door and sit down. Fearing that you might have a panic attack, you have a strong urge to get out of the car, and yet you decide to observe these sensations without reacting and stay seated.",N/A,Is it necessary to get out of the car because you feel your heart beating rapidly?,No,Yes,https://drive.google.com/file/d/1ho3hNNuBsI2_uM04efw2daW5FzUWG_Qk/view?usp=sharing,1,1
Mental Health,,,Late night sensation,"In the middle of the night, you wake up abruptly and feel weird as you sit up. It's as if your mind isn't working correctly, and you start to think you might be losing control. This thought frightens you, and you decide to lie back down and just observe it.",N/A,Do you need to fight your strange feelings in order to make your anxiety go away?,No,Yes,https://drive.google.com/file/d/1xOEaZdmjhMa1dZKtjfWM5xagfKuFXOER/view?usp=sharing,1,1
Mental Health,Work/Career Development,,Not Feeling Prepared,"In one of your meetings recently, your boss asks everyone to raise their hands if they've heard of a work technique before. When you look around, you notice the majority of your coworkers have their hands raised, but you don't. This makes you feel like you're not prepared to do the job.",N/A,Are your coworkers more prepared than you?,Yes,No,https://drive.google.com/file/d/143F_jObaBvG1l77hgZir8HruiOBT9qcV/view?usp=sharing,1,1
Mental Health,Social Situations,,Picture with Friends,"You and your friend took some pictures together. You look through your feed and see that they tagged you in a post and you really don't like how you look. But, you know that in the long run it won't matter.",N/A,Are you worried about your appearence in the posted picture?,No,Yes,https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,1,1
Mental Health,,,Locking the Door,"You are bringing in the mail for your friend while they are away. On your way out of their home each day, you lock the front door and check the lock. Today you were rushing and think you forgot to check the lock, and you think their home will probably be fine.",N/A,Is it likely that your neighbor's home will be robbed?,No,Yes,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,1,1
Mental Health,Family & Home Life,,Safe Driving,"Your friend is a good driver, but today it is raining heavily. They're driving very fast, so you ask them to slow down. You take a deep breath, because the chances of getting into an accident are small. ",N/A,Are you likely to get into an accident? ,No,Yes,https://drive.google.com/file/d/1SiRWDkC3QgQSt2td67hTE3dcGn8ujdRo/view?usp=sharing,1,1
Mental Health,Social Situations,,Inside Jokes,You post a short video. Your best friend comments something really embarassing. Your followers will think that you and your friend are close.,N/A,Do others judge you for your friend's comment on your post?,No,Yes,https://drive.google.com/file/d/1828HR7oyHuDJpNFSn5JmLlYAZ24vA7x7/view?usp=sharing,1,1
Mental Health,,,Trusting Yourself,"You're working on a project with some coworkers. You offer an idea to the group, and someone laughs and says that it's not good. While you're working on the project, you think that you're smart.",,Do you think that you're dumb because you made a mistake?,No,Yes,https://drive.google.com/file/d/1luHbcPLj4BFquei2XFd_e4PgL9z8fBaB/view?usp=sharing,1,1
Mental Health,,,Deciding to Share a Picture,"You take a picture of a coworker at an event that is really great. You want to show your other coworkers in an email but remember that you just sent out an email yesterday. If you email again, you think people won't  notice.",,Do your coworkers think it's strange that you emailed two days in a row?,No,Yes,https://drive.google.com/file/d/1Ev1HphDd6ARyBxl2_PUoyWxWlfAh9n7F/view?usp=sharing,1,1
Mental Health,,,Job Recognition,"You just received recognition for a project you worked on. You’ve only received congratulations from a few people, and by now you thought you’d have more reactions. You wonder if people aren't congratulating you because they are busy.",,Are people not congratulating you because they think you don't deserve it?,No,Yes,https://drive.google.com/file/d/1L1p8TyeiPTeDnfjsltL5yYI2aKvNNO9w/view?usp=sharing,1,1
Mental Health,Social Situations,,Driving flashback ,"You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.",N/A,"When you feel disoriented, it is helpful to ...",Simply observe and accept the feelings.,Get anxious about feeling disoriented.,https://drive.google.com/file/d/111tmTqhti30waD2ToHBnhDXMWZr6Fiv3/view?usp=sharing,1,1
Mental Health,Physical Health,,Trying New Foods,"Your partner brings home some very spicy food for dinner. After eating some, your face begins to sweat, and you can feel your heart beating in your chest. These sensations trigger streams of anxious thoughts. You decide to focus on the conversation, and your experience the rest of dinner is enjoyable.",N/A,You respond to the spicy food by...,Tolerating your heart racing and focusing on the conversation.,Continuing to worry about whether you have a medical issue.,https://drive.google.com/file/d/1fy6cbZwgERtFvVwovTW5yKZIRNqVSJzB/view?usp=sharing,1,1
Mental Health,,,Your Bowling Skills,"You have been bowling in a recreational league with some friends for the past few years. You have improved since you started, but you aren't as skilled as you would like to be yet. When you think about yourself in the years to come you see your bowling skills as disappointing",,"Years from now, when you are bowling with your friends, you will probably notice",How little your skills have continued to improve.,How much you have improved since you started.,https://drive.google.com/file/d/1oSLgkDZVNtoSTo-1lqoKPGD_AvvZLCdO/view?usp=sharing,1,1
Mental Health,Social Situations,,Early Morning,You just started a new job and some friends from work  want to take you to a party tonight. You let them know that you have to be up early tomorrow morning for an important event and that you can't go with them and they seem disappointed. You think that your new friends will respect your decision to put your needs first.,N/A,Do your friends judge you for not going out with them?,No,Yes,https://drive.google.com/file/d/1Zc-4xffN0v0XdDSXW-x1NAACedZAqgXQ/view?usp=sharing,1,1
Mental Health,,,Your Own Style,"You made plans with a group of friends to go out to dinner on a Friday night. When they come to pick you up, you see that they are dressed casually, but you decided to dress up a bit, and you think they might judge you. You decide that you like what you're wearing, and go to dinner happy. ",N/A,Do you change your outfit because of what your friends are wearing?,No,Yes,https://drive.google.com/file/d/12vpSXXIvh5O51Xf7jc-cr6cnonOEz7zw/view?usp=sharing,1,1
Mental Health,,,Change of Plans,"You decide to take a job offer in a different office. Many members of your old coworkers still do not know about this decision, and you worry about them being dissappointed about it. You think that they will be happy that you are finally following your passions.",N/A,Will your coworkers be dissappointed because of your new job?,No,Yes,https://drive.google.com/file/d/15JLTnj5zhDkQ3CWNpfiDS51ykFhKEhI1/view?usp=sharing,1,1
Mental Health,,,Trying Different Foods,"You and your colleagues are at a restaurant. While your colleagues all order the same dish, you want to order something different and adventurous, but you're worried that they'll think it's weird or gross. You decide to order the dish anyways, and enjoy the new flavors.",N/A,Should you avoid trying new foods because your colleagues are not ordering it?,No,Yes,https://drive.google.com/file/d/1s0nfHtbZGDMXBuEXJ9FB0ljT-8ykR7hx/view?usp=sharing,1,1
Mental Health,,,Voicing Your Opinion,"Your coworkers are talking about a current issue and you realize you have a different opinion than them. You want to express it, but worry if they will judge you. You decide that it is better to be honest.",N/A,Should you avoid adding on to the conversation?,No,Yes,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,1,1
Mental Health,,,Speaking Up During Collaboration,"During a meeting, your boss puts you in a group of colleagues to collaborate on finding a solution for an issue. There is one topic that people are unsure how to address, but you have an idea. Even though you have not spoken up with this group yet, you trust your instincts and hope to guide the group in the right direction.",N/A,Will you share your ideas for the topic?,Yes,No,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,1,1
Mental Health,,,New Outfit,"You put on a new outfit in the morning before leaving for the day. In the middle of the day, you notice you feel a bit different in this new outfit. You love this feeling and are happy you chose to wear the outfit. ",,Are you happy with the new outfit you chose?,Yes,No,https://drive.google.com/file/d/1Tj_Fffv-Mc7x6_jQoPut_j9SUCcoydah/view?usp=sharing,1,1
Mental Health,,,A Moment of Forgetfulness,"You remembered that you need milk from the store, so on your way home, you stop to get it. When you walk into the store, you suddenly forget why you are there, which you find a bit troubling. You check your to-do list and decide you can still continue on with your day with confidence.",N/A,Did troubling thoughts prevent you from continuing on with your day?,No,Yes,https://drive.google.com/file/d/1gGksBJBqx0NVoZuQlinZ_8PhY9nCshrZ/view?usp=sharing,1,1
Mental Health,,,New Style ,"You go shopping at your favorite clothes store. You see an outfit that you love but do not believe it is right for your body type. After you get it and try it on, you want to buy it despite it not being something you typically wear. ","After battling with yourself in the dressing room, you find yourself feeling confident and wanting to wear it out so you purchase the new outfit.",Are you excited to wear your outfit to a party?,Yes,No,https://drive.google.com/file/d/1JigHUpLu2fn945h0hTvVgiO8e2TV0Uue/view?usp=sharing,1,1
Mental Health,,,Write Your Own,,,,,,,1,8
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Physical Health,,,Hospital waiting room,"You go to the hospital to visit a friend. In the waiting room, someone behind you coughs. If you wash your hands, the probability that you will get sick is still high.",N/A,"If you wash your hands, you will most likely ...",Still get sick.,Stay healthy.,https://drive.google.com/file/d/1v4HCkO7m3y4tylqtqv5CzAn0rfRfST7m/view?usp=sharing,1,2
Physical Health,,,Coughing Friend,Yesterday you got together with a friend who coughed a few times while you were out. You are nervous that you might have caught something from your friend. You decide that your anxiety is manageable.,N/A,Can you manage your anxiety about potentially getting sick from your friend?,Yes,,https://drive.google.com/file/d/14wxdQT03SW3H6H1dQsVqj2B6s1GhUSY7/view?usp=sharing,1,1
Physical Health,,,Fruit slice,"At the outdoor picnic table with some colleagues, you accidentally cut your finger while slicing fruit for lunch. Because you are outside, you are not able to wash it out immediately with soap and water. In a few days, your cut will be healed.",N/A,The cut will probably ...,Heal quickly.,Become infected.,https://drive.google.com/file/d/1Mu4B99f_8N1nQxTYtHOfiGj2lIRhn65P/view?usp=sharing,1,1
Physical Health,,,Sunday Morning Run,"It's Sunday morning and you just went for a walk outside. Taking off your running shoes in the hallway, you are short of breath. You feel proud.",N/A,You should ...,Rest with a bottle of water and a post-walk snack,Make an emergency call because this is a sign of something serious.,https://drive.google.com/file/d/10ptZti1Xiok5x1tRGfha_hIsnj1ii5BA/view?usp=drive_link,1,1
Physical Health,,,Vacationing by plane,"You are traveling to your vacation destination on an airplane. As the plane accelerates during takeoff, your chest begins to feel tight. You are relaxed.",N/A,Are you scared that you won't be able to breathe properly?,No,,https://drive.google.com/file/d/10RtFjWCJpEFr6Za1p4F3jIp8a2V2fEg5/view?usp=sharing,1,1
Physical Health,,,Hospital waiting room,"You go to the hospital to visit a friend. In the waiting room, someone behind you coughs. If you wash your hands, the probability that you will get sick is minimal.",N/A,"If you wash your hands, you will most likely ...",Stay healthy.,Get sick anyway.,https://drive.google.com/file/d/1v4HCkO7m3y4tylqtqv5CzAn0rfRfST7m/view?usp=sharing,1,2
