Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Spanish scenario body #2,Spanish comprehension question,Spanish correct response,Spanish incorrect response,Old Spanish photo link,New Spanish photo link,Letters Missing
Vida Familiar y Doméstica,Salud Mental,,Atascado en el medio,"Estás en casa leyendo un libro cuando escuchas a miembros de tu hogar peleando. Te preguntas por qué se están gritando el uno al otro, y luego uno de ellos dice tu nombre. Te das cuenta de que la razón por la que están discutiendo probablemente no sea tu culpa. ",,¿Es tu culpa que estén peleando?,No,,https://drive.google.com/file/d/1ftgcSnzMhpFI41H8c5OD_1qoWZWEzBP2/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/argument.jpg,1
Vida Familiar y Doméstica,,,Lidiar con la vergüenza,"Tu pareja te está dejando en un evento de trabajo. Mientras te deja, está siendo muy ruidoso y te hace sentir avergonzado. Cuando sales del coche, te sientes bien.",N/A,¿Eres capaz de tolerar que tu pareja te deje?,Sí,,https://drive.google.com/file/d/1_yNUHw34Vp2RxqAunp0iGwPNqOzTzKbc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/drop_off.jpg,1
Vida Familiar y Doméstica,Salud Mental,,Tu primer hijo,"Acabas de tener tu primer hijo. Quieres tener una buena relación durante toda la vida de su hijo, pero te preocupa cometer errores como padre. Cuando tu hijo sea adulto, crees que esa relación será cercana.",N/A,Esperas que la relación con tu hijo adulto sea...,Cariñoso y cercano,Distanciado,https://drive.google.com/file/d/1jHnVJt6AMYU6KRQP6IKFjUXh3Cp1J9b0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/baby.jpg,1
Vida Familiar y Doméstica,,,Creencias diferentes,"Tú y tu familia extendida tienen creencias políticas y religiosas muy diferentes. Haces un esfuerzo considerable para tener una buena relación con tu familia, pero desacuerdos en una reunión reciente causaron tensión.","Con el tiempo, no esperas que tu familia se distancie, sino que crees que tu familia se volverá más unida.",¿Las relaciones de tu familia se volverán más tensas con el tiempo?,No,Si,https://drive.google.com/file/d/1V9enBLw4iWozyu0nY4pNLSUJ4-RiRp_s/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/disagreementfamily.jpg,1
Vida Familiar y Doméstica,,,Desacuerdos con tu hermana,"Tú y tu hermana recientemente tuvieron una discusión, y no se han hablado en semanas. Quieres mucho a tu hermana, pero ambos aún están molestos por lo que el otro dijo la última vez que hablaron. Al pensar en volver a hablar con tu hermana, crees que seguirán siendo cercanos.",N/A,"Piensas que la próxima vez que hables con tu hermana, ambos...",Dejarán de lado sus diferencias y restaurarán su relación.,Mantendrán sus posturas y seguirán peleando.,https://drive.google.com/file/d/1MrPuOeWOe6yhwEGqHCJmj3SG5bnQbQww/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/roommate_fight.jpg,1
Vida Familiar y Doméstica,,,Un hallazgo afortunado,"Estás buscando una nueva casa. Durante tu primera visita, te enamoras del lugar y decides firmar un contrato de arrendamiento. El hecho de que no hayas visitado otras casas te hace sentir bien.",N/A,"Cuando te mudes a tu casa, probablemente...",Descubrirás que tu casa tiene sentido acogedor.,Lamentarás tu decisión.,https://drive.google.com/file/d/1vHb2dINLjpzSvf2tdF5e5shVae0oDjxQ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/tour.jpg,1
Vida Familiar y Doméstica,,,Llamada telefónica del lunes,"Todos los lunes llamas a tus padres para saludarlos. Hoy es lunes y no contestaron el teléfono cuando llamaste, lo cual es extraño. Probablemente tus padres no contestaron el teléfono porque están ocupados.",N/A,¿Tus padres no pueden hablar porque están enfermos?,No,,https://drive.google.com/file/d/1VKdf9frnu773HFSGrvavtdHyGsg0A04S/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/phonecall.jpg,1
Vida Familiar y Doméstica,Salud Mental,,Yendo de vacaciones,"Te vas de vacaciones por unos días. Decides verificar nuevamente que todos los electrodomésticos de tu casa estén apagados. Al cerrar la puerta de tu casa, te sientes nervioso.",N/A,¿Estás preocupado por si apagaste todo en la casa?,Si,,https://drive.google.com/file/d/11L0gcPPltGMNDtkc_O6wRZAj_WWsbX7o/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stove.jpg,1
Vida Familiar y Doméstica,,,Padres visitando,"Estás organizando una fiesta de nacimiento para un miembro de tu familia hoy y ambos de tus padres están asistiendo. Están divorciados y a veces causan una escena embarazosa en público. Durante la fiesta, piensas en tus padres.",Respiras profundamente y te enfocas de nuevo en organizar la fiesta de nacimiento. Decides que no puedes controlar el comportamiento de tus padres.,¿Puedes concentrarte en la fiesta de nacimiento?,Si,,https://drive.google.com/file/d/1ii9gWhb1eIlxBuU3IxPJk0q_7S0P3KqE/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/babyshower.jpg,1
Vida Familiar y Doméstica,,,Nueva receta,"Tienes una idea para una nueva receta que involucra ingredientes que nunca has usado antes. La preparas para tu familia. Mientras todos empiezan a comer, te sientes orgulloso.",N/A,¿Te preocupa lo que pensará tu familia de tu comida?,No,,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/familydinner2.jpg,1
Vida Familiar y Doméstica,,,Ruidos del exterior,Te acabas de mudar a una nueva casa. Afuera está oscuro y de repente oyes ruidos afuera. Miras por la ventana y ves un gato.,,¿Había algo aterrador afuera en la oscuridad?,No,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/window.jpg,1
Vida Familiar y Doméstica,,,Padres divorciados,"Estás organizando una fiesta y tus padres asisten. Están divorciados y a veces tienen problemas para llevarse bien. Durante el evento, discuten pero tú puedes concentrarte en tus deberes.",,¿Eres capaz de soportar las peleas de tus padres?,Si,,https://drive.google.com/file/d/17W0dNbQ648WWbCLDQ3kAkeR0bT1bWMyW/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/officeparty.jpg,1
Vida Familiar y Doméstica,Salud Física,,Salud y envejecimiento,Visitas a un amigo de la infancia durante las vacaciones y notas que está envejeciendo. Te preguntas cómo será su salud en el futuro. Cree que su salud probablemente será buena.,,Tu amigo probablemente ...,Manténgase saludable en el futuro.,Enferme más en el futuro.,https://drive.google.com/file/d/1WQ98TKdbZ08AjbW2rG-0WPXkWDfK2eYl/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/older_1.jpg,1
Vida Familiar y Doméstica,,,Un sonido fuerte,"Estás en casa viendo televisión solo por la noche. Debes haber estado adormilándote, porque de repente te despiertas después de escuchar un ruido fuerte. Miras afuera y ves un intruso.",N/A,¿Deberías tener miedo cuando escuchas un ruido por la noche?,Si,,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/tvnight.jpg,1
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,Opiniones de otros,Te negaron un ascenso este año y sabes que tu amigo te estaba apoyando para que obtuvieras un ascenso. Fruncen el ceño cuando les cuentas que no han conseguido uno. Les dices que trabajaste muy duro a pesar de no conseguir un ascenso y ellos están orgullosos del esfuerzo que hiciste durante todo el año.,,¿Tu amigo está decepcionado porque no obtuviste el ascenso?,No,,https://drive.google.com/file/d/1WzyVq9WXRsCbwmV-3XbVYvTo1EVSJtPA/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/worknews.jpg,1
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,La música ruidosa,Tu pareja está actualmente escuchando música animada muy fuerte y necesitas prepararte para una tarea importante. No quieres que piensen que eres grosero si les pides que bajen el volumen de la música para que puedas prepararte. Te acercas a ellos y te sientes nervioso.,N/A,¿Tu pareja se molestará cuando les pides que bajen el volumen de la música.,No,,https://drive.google.com/file/d/1AZk7owEM2J5V91afv56x1rxdom3zjESu/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/books.jpg,1
Vida Familiar y Doméstica,,,Pasando tiempo con familia,"Estás yendo a ver a tu familia para unas vacaciones. Disfrutas de ver a tu familia, pero recientemente ha sido más difícil salir a verlos. Cuando imaginas la cantidad de tiempo que pasarás con tus familiares en los próximos años, no estás preocupado de que tu relación se deteriore, y crees que tu familia se mantendrá conectada.",N/A,"A medida que tu familia pasa menos tiempo juntos, piensas que...",Encontrarás formas de mantenerte en contacto y permanecer conectado.,Tu relación con ellos se volverá tensa.,https://drive.google.com/file/d/1KbeTT5hK7TLxBUVg38Kcs6Sq1jNtXzD5/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/gettogether.jpg,1
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,Nueva oportunidad,"Aplicaste a un nuevo trabajo en un país extranjero, pero nadie en tu familia ha estado en el extranjero. Piensas en cómo reaccionará tu familia cuando les cuentes tu decisión y es posible que no les guste la idea de que vivas en otro país. Mientras te imaginas contándoles, sientes entusiasmo.",N/A,¿Te preocupa decirle a tu familia que quieres trabajar y vivir en otro país?,No,,https://drive.google.com/file/d/1mfPOr__w6g_DX68Qv4rp11wDL15AzfTN/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/family_gathering.jpg,1
Vida Familiar y Doméstica,Salud Mental,,Nerviosismo de cumpleaños,"Tus amigos están organizando una fiesta de cumpleaños para ti en su casa. Invitaron a mucha gente que estarán ahí para ti. Cuando piensas en toda la gente que vendrá, te sientes nervioso. ",Recuerdas que todos vienen a celebrarte. Esto te hace sentir emocionado.,¿Estás emocionado por toda la atención que recibirás?,Sí,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/birthday_1.jpg,1
Vida Familiar y Doméstica,Situaciones Sociales,,Conversación durante la cena,Estás en casa de tu amigo para cenar y te preguntan sobre tus padres. No estás seguro de cómo responder porque tus padres están divorciados y no has visto a tu madre durante mucho tiempo. Piensas en qué dirás y te sientes seguro.,N/A,¿Puedes hablar sobre tus padres divorciados?,Si,,https://drive.google.com/file/d/18ON-daCCgtQApC9SVxzPUIsZEHK2kZJK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinneralone.jpg,1
Vida Familiar y Doméstica,,,Padres molestos,"Cuando llamas a uno de tus padres, parecen enojados pero no sabes qué es el asunto. Te dan una respuesta corta cuando intentas hablar con ellos al respecto. Consideras por qué están enojados y te das cuenta de que no eres la causa.",N/A,¿Están enojados contigo?,No,,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/call_1.jpg,1
Vida Familiar y Doméstica,Situaciones Sociales,,Celebraciones culturales familiares,"Tus colegas te piden que vayas a una conferencia, pero es la noche de una celebración cultural importante para tu familia. Estás deseando la celebración con tu familia, pero no quieres que tus colegas piensen que eres diferente. Al pensar en contárselo a tus colegas, te das cuenta de que tu cultura es importante. ",,¿Te da vergüenza decirles a tus colegas que no puedes ir a la conferencia?,No,,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/colleague.jpg,1
Vida Familiar y Doméstica,Situaciones Sociales,,Casa bilingüe,"Estás cenando con un compañero de trabajo. Mientras comen juntos, recibes una llamada telefónica de un miembro de tu familia y cambias entre español y otro idioma. Nunca le dijiste a tu compañero de trabajo que tus familiares son bilingües. Piensas en la reacción de tu compañero y crees que le parecerá interesante.",N/A,¿Tu compañero de trabajo juzga a tu familia bilingüe?,No,,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/familydinner2.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Presentando a tus amigos,Invitaste a tu cónyuge a encontrarse con tus amigos del trabajo esta noche. Sabes que a menudo pueden contar historias vergonzosas sobre ti a otras personas. Piensas en lo que van a hacer esta noche y te sientes tranquilo.,,¿Estás preocupado por lo que dirá tu cónyuge esta noche?,No,,https://drive.google.com/file/d/1jGKwLrtXqcIGGrJzcL9eRsCy8D-KQGvl/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerconversation.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Tensión familiar,"Tú y un miembro de la familia tuvieron una conversación tensa hace unos meses. No han hablado desde esa interacción, pero se acerca un evento festivo al que ambos asistirán. Te preguntas si te enfrentarán nuevamente.","Después de pensarlo, decides que el tema del desacuerdo sigue siendo importante para ti. Optas por evitar al miembro de la familia para evitar encontrarte en una situación incómoda.",¿Intentarás otra vez tener una conversación con el miembro de la familia?,No,,https://drive.google.com/file/d/1g5l905rSslaK-uHj6vY5LZpSy42h1tjN/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/argument_1.jpg,2
Vida Familiar y Doméstica,Salud Física,,Visitar a una familia anciana,Vuelves a casa de tus padres durante las vacaciones y notas que tu madre parece frágil. Te preguntas sobre su salud y si está enferma. Cree que su salud probablemente será buena.,N/A,¿La salud de tu madre va a empeorar rápidamente?,No,,https://drive.google.com/file/d/1Gq9Sn1-xMI1EWDLSKgwCVl-6URaJ2yiG/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/grandma.jpg,2
Vida Familiar y Doméstica,Salud Mental,,Tu primer hijo,"Acabas de tener tu primer hijo. Quieres tener una buena relación durante toda la vida de su hijo, pero te preocupa cometer errores como padre. Cuando tu hijo sea adulto, crees que la relación será tensa.",N/A,Crees que hay muchas posibilidades de que cuando su hijo sea adulto...,Ustedes dos casi nunca se verán,Ustedes dos hablarán regularmente.,https://drive.google.com/file/d/1jHnVJt6AMYU6KRQP6IKFjUXh3Cp1J9b0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/baby.jpg,2
Vida Familiar y Doméstica,,,Creencias diferentes,"Tú y tu familia extendida tienen creencias políticas y religiosas muy diferentes. Haces un esfuerzo considerable para tener una buena relación con tu familia, pero desacuerdos en una reunión reciente causaron tensión. Con el tiempo, piensas que tu familia se volverá más unida.",N/A,Piensas que probablemente tu familia...,Trabajarán juntos para establecer mejores relaciones entre ustedes.,Hablarán cada vez menos entre ustedes a medida que aumenten las tensiones ideológicas.,https://drive.google.com/file/d/1V9enBLw4iWozyu0nY4pNLSUJ4-RiRp_s/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/disagreementfamily.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Cambio de planes,Tu familia espera que te asciendan en tu trabajo. Todavía no les has dicho que en realidad quieres tomarte unos años sabáticos para viajar. Piensas en decírselo y te sientes ansioso.,"Decides decírselo de todos modos. Cuando les cuentas tus planes, te sientes aliviado. ",¿Te sientes mejor después de hablar con tu familia sobre tus planes?,Sí,,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/college.jpg,2
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,Emoción prospectiva,"Te gustarías tomarte un tiempo libre para viajar después de un año largo y estresante. Tu familia espera que trabajes más horas para ayudar con las finanzas y no quieres decepcionarlos. Al considerar tus planes para fin de año, te sientes emocionado.",,¿Estás ansioso por tus planes para fin de año?,No,,https://drive.google.com/file/d/1-ZaRhY6rkkEMRjIZb6GczmTpynme4Zhc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/airport.jpg,2
Vida Familiar y Doméstica,,,Haciendo una buena impresión,"Nunca has conocido a los colegas de tu pareja. Acaba de decirte que sus colegas te han invitado a cenar esta noche, y tu pareja menciona que pueden ser críticas. Cuando piensas en conocer a sus colegas, tu ansiedad es tolerable.  ",,¿Eres capaz de tolerar tu ansiedad?,Sí,,https://drive.google.com/file/d/1vJoHo-PAZH_4RraK8mdfEZStKeJTXdp3/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/mentor_talks.jpg,2
Vida Familiar y Doméstica,Salud Mental,,Opiniones opuestas,"Tu familia tiene opiniones firmes con las que no siempre estás de acuerdo. Al escuchar a tu familia hablar, sientes que eres muy diferente a ellos. Sientes que tener tus propios puntos de vista únicos está bien. ",N/A,¿Está bien tener puntos de vista diferentes a los de tu familia?,Sí,,https://drive.google.com/file/d/1z-OZ5Wr0EatO5q1bpsB0G3Xv11wj5Z46/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/familytalking.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,El coche de tu familia,"Tu familia comparte un coche viejo que tiene una gran abolladura en la parte delantera. Hoy lo estás conduciendo al trabajo. Cuando piensas en tus colegas viendo tu coche, te sientes nervioso. ","Al salir del coche en frente de tu trabajo, ves a algunos de tus colegas. Sonríen y te saludan con la mano, y te sientes aliviado. ",¿Tus colegas juzgan tu coche?,No,,https://drive.google.com/file/d/1jkOOfJWbCDVRymQ01TrUAX4_GRkDLWoN/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/oldcar.jpg,2
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,Fecha límite cercana,"Tú y tu pareja comparten una oficina en casa. Tienes una tarea del trabajo que entregar esta noche, pero están usando la oficina. Cuando piensas en completar el trabajo a tiempo, te sientes seguro.",N/A,¿Terminarás tu tarea a tiempo?,Si,,https://drive.google.com/file/d/1q13omJofjfnPiBpNlEwv-3_ZALGQEk6h/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/computerontable2.jpg,2
Vida Familiar y Doméstica,Salud Mental,,Puerta con seguro,"Una mañana sales de tu casa y comienzas a dirigirte al trabajo. Unos 10 minutos después de salir, te preguntas si recordaste cerrar la puerta de tu casa. A medida que continúas con tu viaje, confías en ti mismo y te sientes relajado.",N/A,Durante el resto del camino te sientes...,Tranquilo y relajado cuando llegas al trabajo.,Preocupado de que hayas dejado la puerta de tu casa sin seguro.,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/doorlock.jpg,2
Vida Familiar y Doméstica,Finanzas,,Mantener a la familia,"Quieres que tu familia tenga buenas oportunidades educativas. Tú quieres que tus hijos puedan asistir a buenas universidades, pero comprendas que esto tiene un precio alto. Cuando piensas en tus hijos, piensaa que apoyar su educación universitaria será asequible.",,¿Crees que enviar a tus hijos a una buena universidad,Será alcanzable.,Estará más allá de tus posibilidades.,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/university.jpg,2
Vida Familiar y Doméstica,Finanzas,,Costos inesperados,"Has estado alquilando tu casa. Sientes que ya es hora de comprar una casa y que ahora tienes un trabajo estable, pero te preocupan los costos inesperados. Considerando la posibilidad de comprar, crees que estos costos serán manejables.",N/A,Comprar una casa va a...,Ser asequible y salir bien.,"Ser más allá de tus posibilidades, incluso con tu trabajo.",https://drive.google.com/file/d/1lpvvvV6h9M0GBc8a-at-2ovha4XXdfLE/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/flashback_1.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Equilibrar la vida familiar y los amigos,"Tu pareja dirige una guardería en tu casa, por lo que siempre está ruidoso cuando llegas a casa del trabajo. Su colega viene hoy a tomar café. Piensas en cómo va a reaccionar tu colega al ruido y te preocupas. ",N/A,¿Estás tranquilo acerca de que tu colega venga esta tarde?,No,,https://drive.google.com/file/d/1ahnx3c5S7xhmW9qeHplPosctvWEMV4oh/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/daycare.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Traer un nuevo amigo a casa,"Vives con algunos miembros de tu familia extendida. Tu colega te pregunta si puede venir a cenar algún día y no sabe cuántas personas viven en tu casa. Cuando imaginas a tu colega entrando a tu casa, crees que te sorprenderás.","Considera que vive en una situación diferente a la de su colega. También sabes que tu colega es muy amable, por lo que lo aceptará.",¿Tu colega te juzga por vivir con muchos miembros de tu familia extendida?,No,,https://drive.google.com/file/d/1scmmozRrE86kB6Z8kfBY87Pr17Q0gA1O/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/family_2.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Cena en una casa de amigos,"Tu familia no hace cenas sentadas juntas. Tu amiga te invita a unirte a su familia para la cena, y cuando llegues, todos se sientan a la mesa y comienzan a hacer preguntas sobre los días del otro. Cuando es tu turno, no estás seguro de cómo responder, pero después de decir algo, te sientes tranquilo. ",,¿Eres capaz de mantener la calma aunque no sepas qué decir?,Sí,,https://drive.google.com/file/d/18ON-daCCgtQApC9SVxzPUIsZEHK2kZJK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinneralone.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Asistir a una cena,"Tu pareja te pide que vayas a cenar con sus nuevos amigos. No has conocido a estas personas antes y te preguntas qué pensarán de ti. Preparándote para ir, piensas que la gente nueva te encontrará interesante. ",N/A,¿Tus nuevos conocidos no te gustarán?,No,,https://drive.google.com/file/d/1RMWKinAHjtpGA8EDTjoC6H1qWZ9tnyh1/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/gettingready.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Publicar sobre la familia,Miras a través de tus redes sociales. Te diste cuenta de que tus hijos en edad de secundaria solo publican fotografías con tus amigos. Publicaste una foto familiar y etiquetaste a tus hijos. Tus hijos deben pensar que eres genuino.,,¿Están tus hijos molestos porque los etiquetó en una foto familiar?,No,,https://drive.google.com/file/d/1CZ3q4YAXdB5vZOsWDR7bPvWclLmbpBgm/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/family_on_social.jpg,2
Vida Familiar y Doméstica,Salud Mental,,Conducción segura,"Tu amigo es un buen conductor, pero hoy está lloviendo fuertemente. Están conduciendo muy rápido, así que les pides que disminuyan la velocidad. Respiras profundamente, porque las posibilidades de sufrir un accidente son pequeñas. ",N/A,¿Es probable que tengan un accidente?,No,,https://drive.google.com/file/d/1SiRWDkC3QgQSt2td67hTE3dcGn8ujdRo/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/rain.jpg,2
Vida Familiar y Doméstica,Finanzas,Situaciones Sociales,Inicio Presentaciones,"Notas que tu casa no es como la de tus compañeros. Tu mejor amigo nunca ha estado en tu casa, pero quiere venir a cenar una noche. Crees que tu reacción hacia tu hogar será respetuosa.",,¿Tus amigos juzgarán tu casa?,No,,https://drive.google.com/file/d/1VCybtiOeMs0Sxk93nEyA51k4mVoIITAu/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/messyapartment.jpg,2
Vida Familiar y Doméstica,Situaciones Sociales,,Invitar a alguien,"Invitas a un compañero de trabajo a cenar una noche y estás a cargo de la comida. No eres el mejor cocinero y podrías avergonzarte delante de tu compañero de trabajo. Cuando llega tu compañero de trabajo, estás tranquilo.",,¿Estás ansioso cuando llega tu compañero de trabajo?,No,,https://drive.google.com/file/d/18ON-daCCgtQApC9SVxzPUIsZEHK2kZJK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinneralone.jpg,2
Vida Familiar y Doméstica,Académicos/Trabajo/Desarrollo Profesional,,Noticias decepcionantes,"Una iniciativa nueva que fue empezada por ti y algunos otros compañeros fue rechazada por tu jefe. Tu tienes que contarles la noticia a tus compañeros, y cuando les dices, no dicen nada. Probablemente están decepcionados. ",N/A,¿Tus compañeros están decepcionados de que la iniciativa fuera rechazada?,Si,,https://drive.google.com/file/d/15VPmA2W3BJTESFcdDiE0Xg8dzS88Klsc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/sharingnews.jpg,2
Vida Familiar y Doméstica,Salud Mental,,Hablando sobre vivienda,"Estás pasando tiempo con un nuevo grupo de personas y todos están hablando de sus situaciones de vivienda. Quieres participar, pero aún estás buscando un lugar para establecerte y sientes que estás atrasando en experiencias de vida. Piensas que todavía tienes mucho tiempo.",N/A,¿Resolverás lo de la vivienda?,Si,,https://drive.google.com/file/d/13C46DCNwa01dfLqreKVRIq8Gnv03aKQI/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friends.jpg,2
